"Story","Title","Result","Date","Stability","Duration (s)"
"Catrgories CURD test","This will get a Categories list","SUCCESS","2021-07-21T23:29:29.937+01:00[Europe/London]","0.0","4.62"
"Catrgories CURD test","This will create a new categories","SUCCESS","2021-07-21T23:29:34.591+01:00[Europe/London]","0.0","0.74"
"Catrgories CURD test","This will get Categories by id","SUCCESS","2021-07-21T23:29:35.329+01:00[Europe/London]","0.0","0.06"
"Catrgories CURD test","This test will update the categories  by existing id","SUCCESS","2021-07-21T23:29:35.390+01:00[Europe/London]","0.0","0.12"
"Catrgories CURD test","This will delete a new categories","SUCCESS","2021-07-21T23:29:35.509+01:00[Europe/London]","0.0","0.04"
"Product CURD test","This will get a products list","SUCCESS","2021-07-21T23:29:37.933+01:00[Europe/London]","0.0","0.33"
"Product CURD test","This will create a new products","SUCCESS","2021-07-21T23:29:38.268+01:00[Europe/London]","0.0","0.67"
"Product CURD test","This will get products by id","SUCCESS","2021-07-21T23:29:38.934+01:00[Europe/London]","0.0","0.03"
"Product CURD test","This test will update the product  by existing id","SUCCESS","2021-07-21T23:29:38.961+01:00[Europe/London]","0.0","0.14"
"Product CURD test","This will delete a new products","SUCCESS","2021-07-21T23:29:39.101+01:00[Europe/London]","0.0","0.03"
"Services CURD test","This will get a Services list","SUCCESS","2021-07-21T23:29:39.226+01:00[Europe/London]","0.0","0.07"
"Services CURD test","This will create a new services","SUCCESS","2021-07-21T23:29:39.302+01:00[Europe/London]","0.0","0.09"
"Services CURD test","This will get services by id","SUCCESS","2021-07-21T23:29:39.397+01:00[Europe/London]","0.0","0.04"
"Services CURD test","This test will update the services  by existing id","SUCCESS","2021-07-21T23:29:39.439+01:00[Europe/London]","0.0","0.1"
"Services CURD test","This will delete a new services","SUCCESS","2021-07-21T23:29:39.544+01:00[Europe/London]","0.0","0.03"
"Stores CURD test","This will get a store list","SUCCESS","2021-07-21T23:29:39.679+01:00[Europe/London]","0.0","0.11"
"Stores CURD test","This will create a new stores","FAILURE","2021-07-21T23:29:39.793+01:00[Europe/London]","0.0","0.09"
"Stores CURD test","This will get stores by id","SUCCESS","2021-07-21T23:29:39.893+01:00[Europe/London]","0.0","0.05"
"Stores CURD test","This test will update the stores  by existing id","SUCCESS","2021-07-21T23:29:39.944+01:00[Europe/London]","0.0","0.13"
"Stores CURD test","This will delete a new stores","SUCCESS","2021-07-21T23:29:40.076+01:00[Europe/London]","0.0","0.03"
